gold_label,premise,hypothesis,machine_explanation,explanation
0,women of india performing with blue streamers in beautiful blue costumes,indian women perform together in gorgeous costumes,"The answer is that the blue streams are not the only thing that is happening in indi-colonia, (1) The blue-streamers are the most popular and most successful in the country. The number of bluestreams in","The answer is that the blue streams are not the only thing that is happening in indi-colonia, (1) The blue-streamers are the most popular and most successful in the country. The number of bluestreams in"
2,women of india performing with blue streamers in beautiful blue costumes,dogs sniff the air,"The answer is that the dogs are not sniffing the water. The dogs do not smell the ground. They are sniffed by the dog's nose, (1) The dog is not smelling the earth. (2) It is a dog. It","The answer is that the dogs are not sniffing the water. The dogs do not smell the ground. They are sniffed by the dog's nose, (1) The dog is not smelling the earth. (2) It is a dog. It"
1,women of india performing with blue streamers in beautiful blue costumes,indian women are performing a religious ritual together,The answer is that the blue streams are not related (1) The blue-streamers are the same as the indians. (2) They are both indigeneous. The indi-gods are indigent.,The answer is that the blue streams are not related (1) The blue-streamers are the same as the indians. (2) They are both indigeneous. The indi-gods are indigent.
0,a professional swimmer spits water out after surfacing while grabbing the hand of someone helping him back to land,a person is swimming,The answer is that the swimmers are not doing their job (1) The swims are doing the job of helping the person who is trying to get back on the water. (2) They are helping to help the,The answer is that the swimmers are not doing their job (1) The swims are doing the job of helping the person who is trying to get back on the water. (2) They are helping to help the
2,a professional swimmer spits water out after surfacing while grabbing the hand of someone helping him back to land,the swimmer is eating a toasted marshmallow,The answer is that the answer to this question is not true (1) The swimmers are not eating marshmallows. The marsh mallows are the marsh marsh. (2),The answer is that the answer to this question is not true (1) The swimmers are not eating marshmallows. The marsh mallows are the marsh marsh. (2)
1,a professional swimmer spits water out after surfacing while grabbing the hand of someone helping him back to land,the swimmer almost drowned after being sucked under a fast current,The answer is that the answer to this question is not clear (1) The swimmers who were caught in the act of spouting water were not the only ones who had,The answer is that the answer to this question is not clear (1) The swimmers who were caught in the act of spouting water were not the only ones who had
1,the man in the black wetsuit is walking out of the water,a man in a wetsuit walks out of the water carrying a surfboard,The man who is in charge of this investigation is a former Marine Corps officer who has been in and out the military for over 20 years. He is also a Marine who served in Iraq and Afghanistan,The man who is in charge of this investigation is a former Marine Corps officer who has been in and out the military for over 20 years. He is also a Marine who served in Iraq and Afghanistan
0,the man in the black wetsuit is walking out of the water,a person is walking out of water,"The man who is in water, is not walking in a watery way. He is standing on a rock (The person in black is the one who has been in an accident. The person who was in that accident is also the person walking.","The man who is in water, is not walking in a watery way. He is standing on a rock (The person in black is the one who has been in an accident. The person who was in that accident is also the person walking."
2,the man in the black wetsuit is walking out of the water,a man is laying on the beach,"The man who is lying on a beach cannot possibly be the same man as the one who was lying there (The following is a quote from the book of Genesis, by the great Christian theologian, John Calvin, who wrote the first edition","The man who is lying on a beach cannot possibly be the same man as the one who was lying there (The following is a quote from the book of Genesis, by the great Christian theologian, John Calvin, who wrote the first edition"
1,five girls and two guys are crossing a overpass,the extended family hike together on their family reunion,The answer is that the girls are not (emphasis added),The answer is that the girls are not (emphasis added)
2,five girls and two guys are crossing a overpass,the three men sit and talk about their lives,"The answer is that the girls are not talking about the lives of the men. They are talking of their own lives (The girls were not even talking to each other.),- The girls did not talk to the guys. The guys were","The answer is that the girls are not talking about the lives of the men. They are talking of their own lives (The girls were not even talking to each other. ),- The girls did not talk to the guys. The guys were"
0,five girls and two guys are crossing a overpass,there are people outside,"The answer is that the girls are not crossing over the overbridge (The girls were crossing the bridge over a bridge that was overgrown with weeds and weeds. The guys were not.), and the girl was crossing to the right of the road. (This is the same road","The answer is that the girls are not crossing over the overbridge (The girls were crossing the bridge over a bridge that was overgrown with weeds and weeds. The guys were not. ), and the girl was crossing to the right of the road. (This is the same road"
1,a person with a purple shirt is painting an image of a woman on a white wall,a woman paints a portrait of her best friend,The answer is that the person who paints the image is not related (1) The person is a member of the same family as the painting. (2) A person has a relationship with the painter. The relationship,The answer is that the person who paints the image is not related (1) The person is a member of the same family as the painting. (2) A person has a relationship with the painter. The relationship
1,a person with a purple shirt is painting an image of a woman on a white wall,a woman paints a portrait of a person,The answer is that the person who paints the image is not related (1) The person is a member of the same family as the painting. (2) A person has a relationship with the painter. The relationship is,The answer is that the person who paints the image is not related (1) The person is a member of the same family as the painting. (2) A person has a relationship with the painter. The relationship is
2,a person with a purple shirt is painting an image of a woman on a white wall,a woman paints a portrait of a monkey,"The answer is that the person who paints the image is not a true person (1) The person is a false person, and the painting of the monkey on the wall is false. (2) A false painting is","The answer is that the person who paints the image is not a true person (1) The person is a false person, and the painting of the monkey on the wall is false. (2) A false painting is"
0,a woman is painting a mural of a woman's face,there is a woman painting,The answer is that the woman who paints a murals of her face is not painting the face of the person who painted it. The person painting it is the one who is actually painting that face (1) The woman in question is an artist. She is drawing a portrait,The answer is that the woman who paints a murals of her face is not painting the face of the person who painted it. The person painting it is the one who is actually painting that face (1) The woman in question is an artist. She is drawing a portrait
1,a woman is painting a mural of a woman's face,there is a woman painting for fun,"The answer is that there are no such things as ""women's"" or ""men's."" (I'm not saying that women are not beautiful, but I'm saying they are.).,""Women's,"" ""Men's""—and ""Women are beautiful.""","The answer is that there are no such things as ""women's"" or ""men's."" (I'm not saying that women are not beautiful, but I'm saying they are. ).,""Women's,"" ""Men's""—and ""Women are beautiful."""
2,a woman is painting a mural of a woman's face,there is a man tying his shoes,The answer is that the woman who paints a murals of her face is not a true artist. She is simply a person who has painted a painting of herself (1) The woman has not painted her own face. (2) She has never painted,The answer is that the woman who paints a murals of her face is not a true artist. She is simply a person who has painted a painting of herself (1) The woman has not painted her own face. (2) She has never painted
2,a couple is eating outside at a table and he is pointing at something,a couple is eating inside at a table and he is pointing at something,The answer is that the two are not the same (1) The two have different tastes. The taste of the one is different from the taste that is the other. (2) Both have the opposite,The answer is that the two are not the same (1) The two have different tastes. The taste of the one is different from the taste that is the other. (2) Both have the opposite
1,a couple is eating outside at a table and he is pointing at something,the man is pointing at a purse snatcher,The answer is that the purse is not a snare. It is a trap (1) The purse can be used to trap a person. The person is the one who is trying to escape. (2) If the person,The answer is that the purse is not a snare. It is a trap (1) The purse can be used to trap a person. The person is the one who is trying to escape. (2) If the person
0,a couple is eating outside at a table and he is pointing at something,people are eating at a table outside,The answer is that the person who is talking about the table is not talking to the other person (1) The person is saying that he or she is going to eat outside. (2) He or her is asking the question. The question is,The answer is that the person who is talking about the table is not talking to the other person (1) The person is saying that he or she is going to eat outside. (2) He or her is asking the question. The question is
1,two women walk down a sidewalk along a busy street in a downtown area,the women were walking downtown because the buses were on strike,The answer is that the bus drivers were not on the strike. The bus companies were in the process of negotiating a contract with the city to provide services to downtown (The bus company was not in negotiations with city officials to,The answer is that the bus drivers were not on the strike. The bus companies were in the process of negotiating a contract with the city to provide services to downtown (The bus company was not in negotiations with city officials to
2,two women walk down a sidewalk along a busy street in a downtown area,the women were picking berries in the countryside,"The answer is that the two men were walking down the street, and the woman was walking up the sidewalk (The woman's name is not mentioned in this article.), and(The man's is mentioned only in passing","The answer is that the two men were walking down the street, and the woman was walking up the sidewalk (The woman's name is not mentioned in this article. ), and(The man's is mentioned only in passing"
0,two women walk down a sidewalk along a busy street in a downtown area,the women were walking downtown,"The answer is that the two men were standing on the sidewalk, and the woman was walking down the street (emphasis added)""The woman's feet were on top of the man's, so she was standing there, but she didn't have to walk","The answer is that the two men were standing on the sidewalk, and the woman was walking down the street (emphasis added)""The woman's feet were on top of the man's, so she was standing there, but she didn't have to walk"
1,many people standing outside of a place talking to each other in front of a building that has a sign that says hi pointe,the people are having a chat before going into the work building,"The answer is that there are no such signs (1) The sign is not a ""sign"" but a symbol of the person who is talking. The person","The answer is that there are no such signs (1) The sign is not a ""sign"" but a symbol of the person who is talking. The person"
0,many people standing outside of a place talking to each other in front of a building that has a sign that says hi pointe,the group of people aren't inide of the building,I think it's important to understand that the people who are standing in the front are not the ones who have to stand in a way to get to the place. They are the one who is standing there,I think it's important to understand that the people who are standing in the front are not the ones who have to stand in a way to get to the place. They are the one who is standing there
2,many people standing outside of a place talking to each other in front of a building that has a sign that says hi pointe,the people are sitting in the hotel lobby,"The answer is that the sign is not true (1) The sign does not say ""I am a man of God"" or ""God is my friend"".,...","The answer is that the sign is not true (1) The sign does not say ""I am a man of God"" or ""God is my friend"".,..."
1,the flight attendant dressed in yellow demonstrates life vest usage,a flight attendant is standing in front of passengers,The flight attendants are not required to wear a life jacket (emphasis added)This is a very important point. The flight crew is not allowed to use a body bag. They are allowed only to carry a small amount of body bags. This is,The flight attendants are not required to wear a life jacket (emphasis added)This is a very important point. The flight crew is not allowed to use a body bag. They are allowed only to carry a small amount of body bags. This is
1,the flight attendant dressed in yellow demonstrates life vest usage,a flight attendant is demonstrating safety procedures before takeoff,"The flight attendants are not required to wear life vests.. The flight crew is not allowed to use a life jacket or a vest. If the crew wears a jacket, the pilot must wear a safety vest and the aircraft must be in a safe position to fly. This","The flight attendants are not required to wear life vests.. The flight crew is not allowed to use a life jacket or a vest. If the crew wears a jacket, the pilot must wear a safety vest and the aircraft must be in a safe position to fly. This"
2,the flight attendant dressed in yellow demonstrates life vest usage,a woman is preparing drinks on an airplane,The answer is that the woman's dress is not a sign of her femininity. It is a symbol of the fact that she is wearing a dress that is feminine (1) The dress of a man is the dress worn by a female. (2,The answer is that the woman's dress is not a sign of her femininity. It is a symbol of the fact that she is wearing a dress that is feminine (1) The dress of a man is the dress worn by a female. (2
0,the girls walk down the street,girls walk down the street,"The girls are walking down a street. They are not walking up a sidewalk (The girl is walking on the sidewalk.),.,:-(The woman is standing on a bench.)..""""What is that?"" ""What are you doing?"" ""I'm","The girls are walking down a street. They are not walking up a sidewalk (The girl is walking on the sidewalk. ),.,:-(The woman is standing on a bench.).. """"What is that?"" ""What are you doing?"" ""I'm"
2,the girls walk down the street,girls set down in the street,"The answer is that the girl who is walking down a street does not walk up the same street as the one who has set up a fence (1) The girl is not walking up to the fence, but is standing on the ground. (2) If the person who set the","The answer is that the girl who is walking down a street does not walk up the same street as the one who has set up a fence (1) The girl is not walking up to the fence, but is standing on the ground. (2) If the person who set the"
1,the girls walk down the street,girls were going to the park,"The answer is that the answer to that question is not clear (1) The girls are walking down a street. The park is a public place. It is the place where the children are going. If the kids walk up the sidewalk, they are not going down. They are just","The answer is that the answer to that question is not clear (1) The girls are walking down a street. The park is a public place. It is the place where the children are going. If the kids walk up the sidewalk, they are not going down. They are just"
2,a man wearing a red uniform and helmet stands on his motorbike,a man sitting in a car,"The answer is that the man is not a true person. He is a person who is in fact a false person, who has been deceived by the false people (1) The man who stands in the front of a motorcyclist's vehicle is","The answer is that the man is not a true person. He is a person who is in fact a false person, who has been deceived by the false people (1) The man who stands in the front of a motorcyclist's vehicle is"
0,a man wearing a red uniform and helmet stands on his motorbike,a person standing,"The answer is that the man is not a police officer (emphasis added)I have been told that this is a very important point. The police officers who are supposed to protect us are not supposed, and they are being paid to do so. They are paid for their","The answer is that the man is not a police officer (emphasis added)I have been told that this is a very important point. The police officers who are supposed to protect us are not supposed, and they are being paid to do so. They are paid for their"
0,a man wearing a red uniform and helmet stands on his motorbike,a man standing on his motorbike,The answer is that the man is not a police officer (emphasis added),The answer is that the man is not a police officer (emphasis added)
0,a man of the cloth puts a black substance on a man's forehead,the man puts something on the other mans head,"The answer is that the black substances are not the same as the white substances (1) The black and white substance are the two substances which are called the ""white substance"" and the substance which is called ""black substance."",.","The answer is that the black substances are not the same as the white substances (1) The black and white substance are the two substances which are called the ""white substance"" and the substance which is called ""black substance. "",."
2,a man of the cloth puts a black substance on a man's forehead,the women are at the park,"The answer is that the woman is not the one who is the object of a false accusation. The woman's true identity is a matter of fact (1) The man is an object, and the man does not have a right to be the","The answer is that the woman is not the one who is the object of a false accusation. The woman's true identity is a matter of fact (1) The man is an object, and the man does not have a right to be the"
1,a man of the cloth puts a black substance on a man's forehead,the men are at church,The answer is that the evidence is not there (1) The evidence does not support the conclusion that a person of a cloth is a member of any church. The fact that there are no witnesses to this conclusion is irrelevant. (2) There is,The answer is that the evidence is not there (1) The evidence does not support the conclusion that a person of a cloth is a member of any church. The fact that there are no witnesses to this conclusion is irrelevant. (2) There is
0,a person rolls down a hill riding a wagon as another watches,two people are outside,"The answer is that the person who rolls up a mountain is not a ""real"" person. He is a fictional character (The real person is the one who is rolling down the hill.),:-(The fictional person, the real one, is","The answer is that the person who rolls up a mountain is not a ""real"" person. He is a fictional character (The real person is the one who is rolling down the hill. ),:-(The fictional person, the real one, is"
2,a person rolls down a hill riding a wagon as another watches,a person stares at an empty hill,The answer is that the person who is looking at the empty road is not looking for the same thing as the one who looks at it (1) The person looking down the hill does not look at a road that is empty. (2) If,The answer is that the person who is looking at the empty road is not looking for the same thing as the one who looks at it (1) The person looking down the hill does not look at a road that is empty. (2) If
1,a person rolls down a hill riding a wagon as another watches,a child in a wagon rolls down a hill,"The answer is that the answer to this question is not in the Bible (1) The Bible says that a man who is a virgin is to be put to death. (2) It says, ""If a woman is put into a","The answer is that the answer to this question is not in the Bible (1) The Bible says that a man who is a virgin is to be put to death. (2) It says, ""If a woman is put into a"
1,a boy holding onto the wall of an old brick house's raised foundation,a boy holding onto the wall of an old brick house's raised foundation as construction occurs,"The answer is that the building's foundation was raised by a man who was a member of the church. The building was built in the early 1900s, and the man was the first to build a church in New York","The answer is that the building's foundation was raised by a man who was a member of the church. The building was built in the early 1900s, and the man was the first to build a church in New York"
2,a boy holding onto the wall of an old brick house's raised foundation,a girl is leaning against the wall,"The answer is that the girl's body is not the same as the boy's. The girl has a different body than the man's, and the body of the woman is different from the one of man and woman (1) The body","The answer is that the girl's body is not the same as the boy's. The girl has a different body than the man's, and the body of the woman is different from the one of man and woman (1) The body"
0,a boy holding onto the wall of an old brick house's raised foundation,a boy is against the wall of a raised foundation,"The answer is that the boy's father is a lawyer (The father of the child is the lawyer.),:-(The lawyer is not the father.)If the law is clear, then the man","The answer is that the boy's father is a lawyer (The father of the child is the lawyer. ),:-(The lawyer is not the father. )If the law is clear, then the man"
1,bruce springsteen with one arm outstretched is singing in the spotlight in a dark concert hall,bruce springsteen is from florida,"The answer is that the florian is a very different kind of flute than the other flutes. The florets are not fluted, but rather are fluttered. They are a kind that is very similar to the way","The answer is that the florian is a very different kind of flute than the other flutes. The florets are not fluted, but rather are fluttered. They are a kind that is very similar to the way"
0,bruce springsteen with one arm outstretched is singing in the spotlight in a dark concert hall,bruce springsteen is a singer,"The answer is that he is (1) The song ""The Way I Am"" is the most popular song of the year. It is also the song that has the highest number of hits. The number one hit of all","The answer is that he is (1) The song ""The Way I Am"" is the most popular song of the year. It is also the song that has the highest number of hits. The number one hit of all"
1,bruce springsteen with one arm outstretched is singing in the spotlight in a dark concert hall,bruce springsteen is gay,"The answer is that the answer to that question is not clear (1) The answer, of course, is ""no."",-(2) ""No"" is a very broad term. It is","The answer is that the answer to that question is not clear (1) The answer, of course, is ""no. "",-(2) ""No"" is a very broad term. It is"
1,six dogs swimming in a river,six dogs swim across the river,"The answer is that there are no such things as ""six dogs"" and ""four dogs."". (1) The ""Six Dogs""(2) ""Four Dogs,"" ""Three Dogs."" (3),-""Three Dog,"" ""Two Dog."", ""One Dog","The answer is that there are no such things as ""six dogs"" and ""four dogs."". (1) The ""Six Dogs""(2) ""Four Dogs,"" ""Three Dogs."" (3),-""Three Dog,"" ""Two Dog. "", ""One Dog"
0,six dogs swimming in a river,six dogs are outdoors,"The answer is that the dogs have to swim in the river. The dogs must swim to get to the water (The dog swims in water, but the dog does not swim.),..""""The dogs swim, and the fish swim. But the fishes swim."" ""The fish","The answer is that the dogs have to swim in the river. The dogs must swim to get to the water (The dog swims in water, but the dog does not swim.),.. """"The dogs swim, and the fish swim. But the fishes swim."" ""The fish"
2,six dogs swimming in a river,the puppies are setting on the couch,"The answer is that the dogs are not swimming. The dogs have been swimming for a long time. They are swimming because they are hungry (The dogs were swimming when they were hungry.),:""The dog is not eating. He is eating because he is hungry","The answer is that the dogs are not swimming. The dogs have been swimming for a long time. They are swimming because they are hungry (The dogs were swimming when they were hungry. ),:""The dog is not eating. He is eating because he is hungry"
2,a man and woman are taking a picture of themselves while a woman in a scarf walks by them,a man and woman have mug shots taken because they have been arrested,The answer is that the police are not looking for a mug shot. They are looking to find out if the man or woman is a criminal (1) The police have no reason to,The answer is that the police are not looking for a mug shot. They are looking to find out if the man or woman is a criminal (1) The police have no reason to
1,a man and woman are taking a picture of themselves while a woman in a scarf walks by them,a man and woman take selfies while a woman walks by and judges them,The answer is that the two women are not (emphasis added),The answer is that the two women are not (emphasis added)
0,a man and woman are taking a picture of themselves while a woman in a scarf walks by them,a man and woman take selfies of themselves,The answer is that the two men and women are not taking pictures of each other (The two women in the scarf are wearing a white scarf and a black scarf. The two are both wearing white and black hats. They,The answer is that the two men and women are not taking pictures of each other (The two women in the scarf are wearing a white scarf and a black scarf. The two are both wearing white and black hats. They
0,a group of people dancing together,people are dancing,The answer is that the dance is not true. It is a dance that is being performed by a person who is dancing (1) The dance of the people is the same as the dancing of a man. (2) It does not mean that a woman is going to dance with a guy. The dancing,The answer is that the dance is not true. It is a dance that is being performed by a person who is dancing (1) The dance of the people is the same as the dancing of a man. (2) It does not mean that a woman is going to dance with a guy. The dancing
1,a group of people dancing together,they are doing the tango,"The answer is that the dance is not related (1) The dance does not involve the dancing. (2) It is a dance. The dancing is the act of dancing, not the action of the person who is dancing with the other person. It does involve a person's actions","The answer is that the dance is not related (1) The dance does not involve the dancing. (2) It is a dance. The dancing is the act of dancing, not the action of the person who is dancing with the other person. It does involve a person's actions"
2,a group of people dancing together,no one is dancing,The answer is that the dance is not true (1) The dance cannot exist without the other. (2) It cannot have the same meaning as the one that is in the world. It is the only one. The other is a part of the whole. This is why the dancing cannot,The answer is that the dance is not true (1) The dance cannot exist without the other. (2) It cannot have the same meaning as the one that is in the world. It is the only one. The other is a part of the whole. This is why the dancing cannot
0,men wearing blue uniforms sit on a bus,men sit on the bus,The answer is that men are not allowed to sit in the front row of the aisle (emphasis added),The answer is that men are not allowed to sit in the front row of the aisle (emphasis added)
1,men wearing blue uniforms sit on a bus,men sit on the bus going to work,The answer is that the answer to this question is not in the book (1) The book is a collection of essays by men who have been in and out of the military. The essays are written by a man who has been deployed to Iraq and Afghanistan. He,The answer is that the answer to this question is not in the book (1) The book is a collection of essays by men who have been in and out of the military. The essays are written by a man who has been deployed to Iraq and Afghanistan. He
2,men wearing blue uniforms sit on a bus,men drive the bus into the ocean,The answer is that men are not the only ones who are wearing the blue uniform (1) The blue-clad men who drive buses are the ones that are most likely to be the most dangerous. (2) They are also the men that have the highest rates of,The answer is that men are not the only ones who are wearing the blue uniform (1) The blue-clad men who drive buses are the ones that are most likely to be the most dangerous. (2) They are also the men that have the highest rates of
0,two men climbing on a wooden scaffold,two people climbing on a wooden scaffold,"The answer is that the two climbers are not climbing (The two are climbing.),:-(The three are climbers.)If you want to know why the three climbers have to climb on the wooden structure, you can read the following:","The answer is that the two climbers are not climbing (The two are climbing. ),:-(The three are climbers. )If you want to know why the three climbers have to climb on the wooden structure, you can read the following:"
2,two men climbing on a wooden scaffold,two women climbing on a wooden scaffold,The answer is that the two are not the same (1) The two were not climbing the scaffolding when they were climbing. (2) They were both climbing it. The scaffolds were the only thing that could have caused them to fall. They both fell,The answer is that the two are not the same (1) The two were not climbing the scaffolding when they were climbing. (2) They were both climbing it. The scaffolds were the only thing that could have caused them to fall. They both fell
1,two men climbing on a wooden scaffold,two sad men climbing on a wooden scaffold,The answer is that the two are related (1) The two climbers are both men. (2) They are climbing together. The rope is not attached to the rope. It is attached directly to a rope that is tied to an anchor. This is the,The answer is that the two are related (1) The two climbers are both men. (2) They are climbing together. The rope is not attached to the rope. It is attached directly to a rope that is tied to an anchor. This is the
2,a bird is flapping its wings on the water,the bird is flying over the trees,"The answer is that the birds are flying in the same direction. The birds fly in a straight line, and the direction of the flight is the opposite of that of a tree (1) The bird flies in an arc, but the tree is not. (","The answer is that the birds are flying in the same direction. The birds fly in a straight line, and the direction of the flight is the opposite of that of a tree (1) The bird flies in an arc, but the tree is not. ("
1,a bird is flapping its wings on the water,the duck is swimming in the lake,"The answer is that the bird's wings are not flapped. The bird does not fly in a straight line. It is not flying in an arc (The bird flies in straight lines, but does so in reverse.), and the birds are flaps","The answer is that the bird's wings are not flapped. The bird does not fly in a straight line. It is not flying in an arc (The bird flies in straight lines, but does so in reverse. ), and the birds are flaps"
0,a young boy wearing a red shirt and jeans stands in the middle of a field and throws a toy plane in the air,a young boy is playing in a feild,The answer is that the boy's parents are not the ones who are responsible for the actions of the child. The parents of children are the parents who have the responsibility for their children's actions,The answer is that the boy's parents are not the ones who are responsible for the actions of the child. The parents of children are the parents who have the responsibility for their children's actions
1,a young boy wearing a red shirt and jeans stands in the middle of a field and throws a toy plane in the air,a young boy is playing in the field because his mother kicked him out of the house,The answer is that the child is not playing with the toy airplane. The child was not involved in any of these activities (emphasis added),The answer is that the child is not playing with the toy airplane. The child was not involved in any of these activities (emphasis added)
2,a young boy wearing a red shirt and jeans stands in the middle of a field and throws a toy plane in the air,a young boy is playing video games indoors,"The answer is that the boy in question is not a real person. He is a fictional character (The boy's name is ""Bobby"" and he is the son of the fictional","The answer is that the boy in question is not a real person. He is a fictional character (The boy's name is ""Bobby"" and he is the son of the fictional"
1,six or seven people are standing on a pier with a table and a pair of glasses in the foreground,they are going fishing,"The answer is that there are no such things as ""no"" and ""yes"" in this context (1) The ""No"" is not a ""Yes"" or ""Not at all"" question. It is a question","The answer is that there are no such things as ""no"" and ""yes"" in this context (1) The ""No"" is not a ""Yes"" or ""Not at all"" question. It is a question"
0,six or seven people are standing on a pier with a table and a pair of glasses in the foreground,six or seven people are standing on a pier,The answer is that the people standing in front of the pier are not the same people as the ones standing behind (1) The people who are sitting on the edge of a street are the one who is standing,The answer is that the people standing in front of the pier are not the same people as the ones standing behind (1) The people who are sitting on the edge of a street are the one who is standing
2,six or seven people are standing on a pier with a table and a pair of glasses in the foreground,they are in a boat,The answer is that the two are not (1) The two people standing in front of the pier are the same person. (2) They are both standing at the opposite end of a street. The person standing next,The answer is that the two are not (1) The two people standing in front of the pier are the same person. (2) They are both standing at the opposite end of a street. The person standing next
0,a person in a red shirt and black pants hunched over,a person wears a red shirt,"The answer is that the red shirts are not real (1) The red-colored shirt, which is a real thing, is not a fake. It is the real red. (2) It does not have a name. The name is ""Red Shirt.""","The answer is that the red shirts are not real (1) The red-colored shirt, which is a real thing, is not a fake. It is the real red. (2) It does not have a name. The name is ""Red Shirt."""
1,a person in a red shirt and black pants hunched over,the person is a woman,"The answer is that the answer to this question is not in the first place (1) The first thing that you should know about the question of whether a man is or isnot a female is the following:,..""""If a male is","The answer is that the answer to this question is not in the first place (1) The first thing that you should know about the question of whether a man is or isnot a female is the following:,..""""If a male is"
2,a person in a red shirt and black pants hunched over,the person is wearing a green shirt,"The answer is that the red shirts are not true (1) The red-colored shirt does not mean that a man is not a good person. It means that he is a bad person, and that his actions are wrong. (2) A","The answer is that the red shirts are not true (1) The red-colored shirt does not mean that a man is not a good person. It means that he is a bad person, and that his actions are wrong. (2) A"
2,this child is on the library steps,the child is on the school steps,"The answer is that the parent is not aware of the fact that this is a child (1) The parent has no knowledge of this fact. (2) If the parents are aware that a parent knows this, then the information is false. If they are not, the","The answer is that the parent is not aware of the fact that this is a child (1) The parent has no knowledge of this fact. (2) If the parents are aware that a parent knows this, then the information is false. If they are not, the"
0,this child is on the library steps,the child is on the steps,"The answer is that the step is not true.. The child has been removed from the libraries. If the parent is removed, the children will be removed. This is because the parents are not in the same library as the other children. Therefore, if the first child was removed and the second child had been added","The answer is that the step is not true.. The child has been removed from the libraries. If the parent is removed, the children will be removed. This is because the parents are not in the same library as the other children. Therefore, if the first child was removed and the second child had been added"
1,this child is on the library steps,the child is on the steps inside the library,"The answer is that the children are not on any of the libraries (Note that this is not a complete list of all the possible libraries, but rather a list that includes all possible paths to libraries that are available to you.), and, of course, the","The answer is that the children are not on any of the libraries (Note that this is not a complete list of all the possible libraries, but rather a list that includes all possible paths to libraries that are available to you. ), and, of course, the"
2,the tattooed basketball player is about to dunk the ball,the man is playing football,The answer is that the basketball players are not playing basketball (emphasis added)I'm not sure what the point of this post is. I'm sure you're not. But I think it's important to understand that this is a very different situation than the one,The answer is that the basketball players are not playing basketball (emphasis added)I'm not sure what the point of this post is. I'm sure you're not. But I think it's important to understand that this is a very different situation than the one
0,the tattooed basketball player is about to dunk the ball,the person is playing basketball,"The answer is that the player's body is not the same as the basketball. The body of the athlete is the body that is in the best shape (The body, the mind, and the soul are all in one body.),-""The mind is","The answer is that the player's body is not the same as the basketball. The body of the athlete is the body that is in the best shape (The body, the mind, and the soul are all in one body. ),-""The mind is"
1,the tattooed basketball player is about to dunk the ball,the player has a tattoo that says mother,The answer is that the answer to that question is not clear (1) The tattoo is a symbol of the mother. The mother is the symbol that is used to represent the child. (2) It is an expression of love. It means that,The answer is that the answer to that question is not clear (1) The tattoo is a symbol of the mother. The mother is the symbol that is used to represent the child. (2) It is an expression of love. It means that
0,a boy in a red hooded top is smiling whilst looking away from his reflection,a boy in a red hood is happy,"The answer is that the boy is not smiling (The boy's expression is a little different from the one in the picture, but the expression of the girl is the same.),:-(The girl's face","The answer is that the boy is not smiling (The boy's expression is a little different from the one in the picture, but the expression of the girl is the same. ),:-(The girl's face"
1,a boy in a red hooded top is smiling whilst looking away from his reflection,the boy doesn't want to see his reflection,The answer is that the child is not looking at his own reflection (emphasis added),The answer is that the child is not looking at his own reflection (emphasis added)
2,a boy in a red hooded top is smiling whilst looking away from his reflection,the boy is upset,"The answer is that the expression of emotion is not the same as the emotion of the person who is looking at the reflection (1) The expression ""I am happy"" is a common expression used by people who are upset about something. It is","The answer is that the expression of emotion is not the same as the emotion of the person who is looking at the reflection (1) The expression ""I am happy"" is a common expression used by people who are upset about something. It is"
0,a man wearing a gray ball cap walks next to a redheaded woman wearing a long sleeved blue jean shirt,the man is wearing a gray cap,"The answer is that the redhead is a woman. (The redheads are the ones who are wearing the black jogging pants and the white jogs.)...,:""The Redhead""","The answer is that the redhead is a woman. (The redheads are the ones who are wearing the black jogging pants and the white jogs. )...,:""The Redhead"""
2,a man wearing a gray ball cap walks next to a redheaded woman wearing a long sleeved blue jean shirt,the man is wearing a blue cap,The answer is that the redhead is not a true red-headed. The redheads are not real red heads (1) The Redhead Is Not Real Redheads. (2) Red,The answer is that the redhead is not a true red-headed. The redheads are not real red heads (1) The Redhead Is Not Real Redheads. (2) Red
1,a man wearing a gray ball cap walks next to a redheaded woman wearing a long sleeved blue jean shirt,the man is cold,"The answer is that the answer to this question is not in the affirmative (1) The question of whether a person is a ""cold person"" is one that is often asked by people who are not cold.","The answer is that the answer to this question is not in the affirmative (1) The question of whether a person is a ""cold person"" is one that is often asked by people who are not cold."
1,an old man in a baseball hat and an old woman in a jean jacket are standing outside but are covered mostly in shadow,an old woman has a light jean jacket,"The answer is that the old women are not covered in shadows. (The old men are also not mentioned in the story.)...,:-""The story of","The answer is that the old women are not covered in shadows. (The old men are also not mentioned in the story. )...,:-""The story of"
0,an old man in a baseball hat and an old woman in a jean jacket are standing outside but are covered mostly in shadow,an old woman has a jean jacket,"The answer is that the old men are not wearing jellies (The old women are wearing a jacket, but the jay is not.),:-""The","The answer is that the old men are not wearing jellies (The old women are wearing a jacket, but the jay is not. ),:-""The"
2,an old man in a baseball hat and an old woman in a jean jacket are standing outside but are covered mostly in shadow,an old woman has no jacket,The answer is that the old person is not the same as the new person (1) The old is the one who is in the middle of the crowd. The new is a person who,The answer is that the old person is not the same as the new person (1) The old is the one who is in the middle of the crowd. The new is a person who
